county,resolved_url,probe_status,layer_candidate,parcel_id_field
Alcona,https://beacon.schneidercorp.com/?site=AlconaCountyMI,page_status_403,,
Alger,https://www.countyoffice.org/mi-alger-county-gis-maps/,page_status_403,,
Allegan,https://gis.allegancounty.org/portal/apps/webappviewer/index.html?id=1df7bb10376c4aa58236914ac0680650,no_rest_found_on_page,,
Alpena,https://alpenacounty.org/240/Equalization-Office,no_rest_found_on_page,,
Antrim,https://antrimcounty.maps.arcgis.com/apps/webappviewer/index.html?id=45d02244ef1b4e67ac47a4cd348d88b8,no_arcgis_layer_found,,
Arenac,https://experience.arcgis.com/experience/5789212c1fb946ebb83ca42b4478f5b8,no_arcgis_layer_found,,
Baraga,https://www.countyoffice.org/mi-baraga-county-gis-maps/,page_status_403,,
Barry,https://www.barrycounty.org/property_search/index.php,no_rest_found_on_page,,
Bay,https://www.baycountymi.gov/departments/geographic_information_systems_(gis)/index.php,no_rest_found_on_page,,
Benzie,https://www.benzieco.gov/government/equalization/index.php,no_rest_found_on_page,,
Berrien,https://gis.berriencountymi.gov/portal/home/,no_rest_found_on_page,,
Branch,https://branchcounty.gov/departments/equalization/gis-map-viewer/,no_rest_found_on_page,,
Calhoun,https://maps.calhouncountymi.gov/,no_rest_found_on_page,,
Cass,https://www.casscountymi.org/1345/Geographic-Information-Systems,no_rest_found_on_page,,
Charlevoix,https://www.charlevoixcounty.org/online_services/index.php,no_rest_found_on_page,,
Cheboygan,https://www.cheboygancounty.net/departments-services/equalization/gis/,no_rest_found_on_page,,
Chippewa,https://www.chippewacountymi.gov/,no_rest_found_on_page,,
Clare,https://app.fetchgis.com/?currentMap=clare,no_rest_found_on_page,,
Clinton,https://www.clinton-county.org/238/Online-Mapping,no_rest_found_on_page,,
Crawford,https://www.crawfordco.org/online-services/,no_rest_found_on_page,,
Delta,https://cuppad.org/mapping-gis/,no_rest_found_on_page,,
Dickinson,https://www.dickinsoncountymi.gov/government/county_departments/equalization.php,no_rest_found_on_page,,
Eaton,https://ecgis.maps.arcgis.com/home/index.html,no_arcgis_layer_found,,
Emmet,https://www.emmetcounty.org/departments/gis/index.php,no_rest_found_on_page,,
Genesee,https://www.geneseecountymi.gov/departments/gis/index.php,no_rest_found_on_page,,
Gladwin,https://app.fetchgis.com/?currentMap=gladwin,no_rest_found_on_page,,
Gogebic,https://www.gogebic.gov/government/county_offices/gis_map_system.php,no_rest_found_on_page,,
Grand Traverse,https://www.gtcountymi.gov/551/Parcel-Information,no_rest_found_on_page,,
Gratiot,https://www.gratiotmi.com/437/Geographic-Information-Services-GIS,no_rest_found_on_page,,
Hillsdale,https://hillsdalecounty.gov/index.php/tm-gov/tsm-gov-eq-land/gis-online-maps,no_rest_found_on_page,,
Houghton,https://houghtoncounty.maps.arcgis.com/apps/mapviewer/index.html,no_arcgis_layer_found,,
Huron,https://www.co.huron.mi.us/gis,no_rest_found_on_page,,
Ingham,https://app.fetchgis.com/?currentMap=Ingham,no_rest_found_on_page,,
Ionia,https://ioniacounty.maps.arcgis.com/apps/webappviewer/index.html?id=5580408d1a1145cebb561641a5c9895c,no_arcgis_layer_found,,
Iosco,https://iosco.net/online-services/,no_rest_found_on_page,,
Iron,https://irongis.maps.arcgis.com/home/index.html,no_arcgis_layer_found,,
Isabella,https://www.isabellacounty.org/departments/community-development/gis-mapping/interactive-gis-map/,no_rest_found_on_page,,
Jackson,https://gis.mijackson.org/TaxViewer/,no_rest_found_on_page,,
Kalamazoo,https://www.kalcounty.gov/planning/gis.htm,no_rest_found_on_page,,
Kalkaska,https://www.kalkaskacounty.net/departments/equalization/index.php,no_rest_found_on_page,,
Kent,https://gis.kentcountymi.gov/public/publicviewerjs/,no_rest_found_on_page,,
Keweenaw,https://keweenawcountyonline.org/department-equal.php,no_rest_found_on_page,,
Lake,https://lakecounty-mi.maps.arcgis.com/apps/webappviewer/index.html?id=afaee30ca6e542c0876f9996d9d72452,no_arcgis_layer_found,,
Lapeer,https://lapeercountymi.gov/departments/treasurer/mapping_information/index.php,no_rest_found_on_page,,
Leelanau,https://leelanau.maps.arcgis.com/home/index.html,no_arcgis_layer_found,,
Lenawee,https://www.lenawee.mi.us/214/Mapping-GIS,no_rest_found_on_page,,
Livingston,https://milivcounty.gov/gis/interactive-parcel-viewer/,no_rest_found_on_page,,
Luce,https://www.arcgis.com/home/item.html?id=d829cf5ae1514582882c3d96e2b1d21d,no_arcgis_layer_found,,
Mackinac,https://www.mackinaccounty.net/departments/gis/,no_rest_found_on_page,,
Macomb,https://gis.macombgov.org/portal1/apps/sites/#/home,no_rest_found_on_page,,
Manistee,https://www.manisteecountymi.gov/333/Property-Search,no_rest_found_on_page,,
Marquette,https://www.co.marquette.mi.us/departments/equalization_tax_roll/gis_mapping.php,no_rest_found_on_page,,
Mason,https://masoncoassessor.maps.arcgis.com/apps/webappviewer/index.html,no_arcgis_layer_found,,
Mecosta,https://app.regrid.com/us/mi/mecosta,no_rest_found_on_page,,
Menominee,https://www.menomineecounty.com/departments/land-information-services-gis/,no_rest_found_on_page,,
Midland,https://midlandcountymi.gov/GIS,no_rest_found_on_page,,
Missaukee,https://www.missaukee.org/departments/equalization/missaukee_county_gis.php,no_rest_found_on_page,,
Monroe,https://monroe-county-michigan-gis-monroemi.hub.arcgis.com/,no_arcgis_layer_found,,
Montcalm,https://www.montcalm.us/162/Maps-Parcel-Information,no_rest_found_on_page,,
Montmorency,https://www.montcounty.org/gis.html,no_rest_found_on_page,,
Muskegon,https://maps.muskegoncountygis.com/portal/apps/webappviewer/index.html?id=4741564b03aa46de80769afacae95f2c,no_rest_found_on_page,,
Newaygo,https://www.newaygocountymi.gov/gis/gis/,no_rest_found_on_page,,
Oakland,https://gis.oakgov.com/propertygateway/home.mvc,no_rest_found_on_page,,
Oceana,https://oceana.mi.us/government/online-services-alt/online-tools-data/gis-interactive-map/,no_rest_found_on_page,,
Ogemaw,https://www.ocmi.us/gis/,no_rest_found_on_page,,
Ontonagon,https://ontonagoncounty.org/home/resources/,no_rest_found_on_page,,
Osceola,https://experience.arcgis.com/experience/b12c7ea7c1584962a572b9b740476ffc,no_arcgis_layer_found,,
Oscoda,https://www.oscodacountymi.com/equalization/gis-mapping/,no_rest_found_on_page,,
Otsego,https://www.otsegocountymi.gov/179/Property-Search,no_rest_found_on_page,,
Ottawa,https://gis.miottawa.org/ottawa/geocortex/propertymapping/,no_rest_found_on_page,,
Presque Isle,https://beacon.schneidercorp.com/?site=PresqueIsleCountyMI,page_status_403,,
Roscommon,https://roscommoncounty.maps.arcgis.com/apps/webappviewer/index.html?id=d0b928a07dfc4566bf4ed802dd73a43b,no_arcgis_layer_found,,
Saginaw,https://www.sagagis.org/,no_rest_found_on_page,,
St. Clair,https://www.stclaircounty.org/Offices/15,no_rest_found_on_page,,
St. Joseph,https://stjosephcountymi.gov/government/geographic-information-systems-gis/,no_rest_found_on_page,,
Sanilac,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php,no_rest_found_on_page,,
Schoolcraft,https://www.schoolcraftcounty.net/departments/equalization,no_rest_found_on_page,,
Shiawassee,https://shiawassee.net/GIS/,no_rest_found_on_page,,
Tuscola,https://www.tuscolacounty.org/gis/,no_rest_found_on_page,,
Van Buren,https://gis.vanburencountymi.gov/van-buren-county-mi/maps/139519/parcel-viewer-beta-,no_rest_found_on_page,,
Washtenaw,https://washtenaw.maps.arcgis.com/apps/webappviewer/index.html,no_arcgis_layer_found,,
Wayne,https://www.waynecountymi.gov/Government/Departments/Information-Technology/Maps-Data/Interactive-Maps,no_rest_found_on_page,,
Wexford,https://wexfordcounty.org/?page_id=705,no_rest_found_on_page,,
